id;name;file;acquisition_id
1;name1;file1;1
2;name2;file2;1
3;name3;file3;1
4;name4;file4;1
5;name5;file5;1
6;name6;file6;1
7;name7;file7;1
8;name8;file8;1
9;name9;file9;1
10;name10;file10;1
11;name11;file1;2
12;name12;file2;2
13;name13;file3;2
14;name14;file4;2
15;name15;file5;2
16;name16;file6;2
17;name17;file7;2
18;name18;file8;2
19;name19;file9;2
20;name20;file20;2
21;name21;file21;3
22;name22;file22;3
23;name23;file23;3
24;name24;file24;3
25;name25;file25;3
26;name26;file26;3
27;name27;file27;3
28;name28;file28;3
29;name29;file29;3
30;name30;file10;3
