id;class_name;name;params;crawler_id
1;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";1
2;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";1
3;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";1
4;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";1
5;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";1
6;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";1
7;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";1
8;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";2
9;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";2
10;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";2
11;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";2
12;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";2
13;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";2
14;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";2
